field1,field2,field3
Female Model 18+ Requested for Video Shoot,"QR Code Link to This Post
            
        
Are you looking to make some extra cash? Are you curious in Bondage or Spanking? Simply a college student looking for excitement? or all of the above?

Currently in search of a female model between age 18-35 for a bondage / spanking video shoot. The video will require the model to be shown handcuffed/shackled and spanked. Absolutely NO sex scenes will be filmed. If requested, your face does not need to be shown (editing tricks to blur your face out)

Please expect the following:
-3 wardrobe changes
-You will be spanked in different positions throughout filming
-You will be handcuffed/shackled
-Expect the shoot to last 2-3 hours",compensation: Competitive
Seeking Artist Assistant for Project,"QR Code Link to This Post
            
        
I have an idea for a project that will require both research and creating artworks.  This is not a full time job and its ideal for a student or someone who otherwise has a flexible schedule and access to a computer.  Once we talk and you sign an NDA I will disclose more about the project, although all rights and credit will go to the artist (me).  The art form is still up in the air, but I'm thinking right now painting and sculpture, but I am open to a collaboration.  I am happy to pay for supplies, studio space if needed, and even a stipend, all depending on the scope of the project.  If interested please respond with your portfolio or social media profile so I get a sense of your work and your energy and we can take it from there.  Warning this is a bit of a dark project so would probably be best for someone who is in line with that.",compensation: TBD
female models needed,"QR Code Link to This Post
            
        
hello! i am a videographer currently putting together a new videos series and should be launching in the spring time, it’s a unique series that will be featuring female adult performers and their feet giving an interview while performing..so we are currently looking for talkative and friendly models! pay is 500 for the shoot, shoots are about 2 hours.. send in your pics and why youd be a good fit!",compensation: 500
Local Photographer Needs Girl-Next-Door Model,"QR Code Link to This Post
            
        
Austin photographer needs an amateur female model 18-29 for ‘all natural’ Girl-Next-Door portfolio. 
All varieties, all body types. Shoot will take anywhere between 45min to 2 hours. Cash paid ranging from $50 -$100++. Compensation is based on content + time. 
-No Experience Required
-(with Valid ID)
-Safe Space
-Adult Themes
Custom fetish/erotic photo/video shoots.  

Due to overwhelming response of my last shoot, looking for maximum 2 models at this time.
Contact me for more information.",compensation: Based on Time + Content
$1000 Private Female Model,"QR Code Link to This Post
            
        
I am looking for a young, non experienced female willing to do some private acting scenes. Willing to work more with the actress in recurring roles if skill set is high. Pay is in cash. No checks. Must provide body and face pictures as well as number. Text preferred. 

Verification of available funding of over 10K to be shown in interview. This budget is set aside for long term projects.

Looking for a thin average build, pretty face. 

Must be open minded.

This is an actual real opportunity.
Please be respectful, as I try to be as understanding and respectful as possible with anyone I work with.",compensation: $1000
Social Media Marketing,"QR Code Link to This Post
            
        
Looking for a social media marketer for our event that is happening in July.

Must be good with FB and IG.

Please reply with monthly rate.",compensation: please provide your rates
Looking for someone to perform fake plaster for prank video,"QR Code Link to This Post
            
        
Me and my friend wanna do a prank video and we need someone that knows how to plaster a leg (looking for it to look very real for the video) 
Nurses or anyone is welcome to contact me 
Also this is last minute post but im looking for someone to do it tomorrow so we can shoot the video at night
Could be anywhere in newyork not necessarily manhattan",compensation: 500
Looking for someone who does Photoshop Professionally,"QR Code Link to This Post
            
        
I have a photo that I would like some photography editing done to it ... Magazine quality photoshop work.... Only pro's please apply ... If interested please contact me with your website or work you've done... this is for a photograph I took ... And I need this done by Sunday.. No later ... This is paid... 

Thank you
Artanian photography",compensation: Will pay a flat rate ...
Serious novelist looking for daring artistic project collaborator,"QR Code Link to This Post
            
        
I am an adventurous male novelist, poet, and short story writer who has written ten novels over several decades. I write every day in my apartment in downtown Los Angeles and I am looking for an adventurous and fearless woman who would like to be a collaborator in my artistic, emotional and physical life for the next year, possibly beyond that. My work is serious and I am looking for a person who is equally serious and dedicated to making art that will change the world in some ways. I am looking for inspiration and hoping to return that inspiration with the emotional and practical support you seek as an artist. If we click on an emotional and artistic level, I will ask you to collaborate with me on a specific non-fiction project I have been working on for some time. If this interests you, please write a few words about why this interests you, and tell me what your present situation is, what your artistic interests are and what kind of writing excites you. Photos are welcome.",no pay
Looking for female models for photoshoot.,"QR Code Link to This Post
            
        
Looking for female models for tomorrow or sunday. 25hr rate. 
Photographing outdoors. 
Thank you Hope to hear from you.",compensation: Pay gig.
Wordpress Developers!  Do you like music?,"QR Code Link to This Post
            
        
I am looking for freelance Wordpress developers to build out an online magazine.  We are a new startup in the music space and are looking for people as passionate about music as they are about website development.  

This would be a part-time, unpaid opportunity, but compensation via stock options is available as well as access to some of the best premier music festivals in the U.S.",no pay
Adult Movie Auditions,"QR Code Link to This Post
            
        
We're a new and upcoming adult film production company looking to hold auditions in the Virginia Beach area next month (February).  We only have a limited number of times and dates available for this trip, so we'll need you to email a short description of why you want to audition, what you feel your best talents are, and a couple full length pictures of yourself, we can let you know what day and time we can audition/interview you when we get into town.  Any questions you have, you can email as well.  If we do select you, we will then exchange phone numbers for further communication.  Thank you.","compensation: The initial interview is without pay, but if selected to do an audition tape, your salary will be discussed and negotiated on site."
Photographer seeking older female nude model,"QR Code Link to This Post
            
        
Hello,

John Burke here. I’m a photographer in Bed Stuy, Brooklyn looking to hire a nude model for a small personal project.  

I see these aesthetically as fairly simple black and white portraits with oblique religious references. These images I want to very mildly suggestive of the virgin mary. I also plan on removing portions of limbs in post/photoshop.  I see the removal more as broken statuary rather than anything particularly grim. 

Ideally this is someone who has experience as a nude model, even better with a background modeling for figure drawing classes. Generally speaking I don’t really want to place some mental image onto another person, rather I prefer the model bring a lot of themselves to the image. Whatever form this takes i don’t know but that’s half the fun of it. 

The reason I’m looking for an older female mode is that I’ve never really seen the Virgin Mary depicted as someone older and thought that would be interesting. 

Oh one more thing. And this is very necessary for me but I do need to meetup for coffee and chat for a bit in person before taking any photos. 

My site may help get a sense myself and what I do. 

Www.johnburkephto.com


And payment. I’m not sure if it’s best to do a flat rate or an hourly rate. But I’m looking to pay $200-$300 for your time. I think it’ll depend how long we ultimately shoot for. 

Thanks for your time,

John",compensation: $200
High-paying studio modeling,"QR Code Link to This Post
            
        
College age girls 21 to 24 wanted for high-paying studio modeling. Prefer petite brunettes and petite blondes. call Marci 336-978-5692 for further info.",no pay
Test Shoot with Female Model Saturday Jan. 25th,"QR Code Link to This Post
            
        
Experienced photographer is looking for a female model 18 to 30 yrs old to test new camera with. The shoot will take place at a studio in Norwalk, CT tomorrow Saturday 1/25 in the afternoon. The pay for the shoot is $50/hr.

For consideration, send a link to your portfolio/Instagram or a current photo.",compensation: $50/hr
Long-Time Sacramento Sketch Comedy Group Looking for New Cast Members!,"QR Code Link to This Post
            
        
We are a well-established (over 6 years) Sacramento-area Sketch Comedy group, looking to supplement our cast of talented comedic performers for our upcoming live sketch comedy shows! We will be holding auditions on the afternoon of Sunday, February 23rd. 

To reserve a spot at our auditions, reply to this ad with some details about yourself and your stage/comedy/performance experience. You can let us know why you’d like to join a sketch comedy group, or maybe tell us about some of your favorite comedy performers/shows or even describe your sense of humer. so we can get an idea of how you might fit with the group. 

Our group performs every three months or so at a well-known mid-town Sacramento theater. We will have our cast/writer meetings and rehearsals on Monday nights, (beginning at 7:30pm) and we ask that you be available for Monday night cast meetings/rehearsals to be a part of the group for any specific round of shows. However, we are also looking to add cast members for shows beyond the Spring (our Spring 2020 shows will be May 21-23rd) so even if you’re not available for this round of shows, feel free to audition.  

Applicants should have some stage performing, improv comedy or general performance experience. We are looking to add positive, team-oriented, professional performers with a creative open-mindedness and the ability to memorize character lines. 

Experience is important, but our cast is composed of a wide-range of talented performers from varying backgrounds and with different levels of prior comedy/performance experience, so if even you don’t necessarily have a stacked performance/comedy resume, you should feel free to come audition if you think it is something you’d like to try. You might just surprise yourself (and us!) 

Ages 18-and-up, please. 

A performance resume is not required, but would be appreciated.

Thank you for your interest. We look forward to hearing from you. 

** Some email filters tend to automatically bounce replies from the Craigslist servers into your junk and spam folders, so please respond with some alternate contact info just in case. We'd hate for you to miss any reply we might send you because it is tossed into your junk folders. Thanks.",no pay
Short Video Lecture wanted,"QR Code Link to This Post
            
        
Seeking a female that is experienced in yoga, meditation, spirituality, self-care, nutrition/recipes &/or alternative health, to record a short video lecture on any of these topics for our women's well-being website.
Certification in any of these fields are a plus. Pre-recorded youtube or vimeo videos are also ok.
Must be passionate about holistic wellness with a joyous personality that radiates.
Please email us if interested. Thanks & we look forward to hearing from you!",compensation: pay based on experience. Please include desired amount in your email.
HIGH PAYING MODELING GIG FOR FEBRUARY 1st,"QR Code Link to This Post
            
        
High paying modeling gig for Saturday February 1st. 

Photos will include:

Casual 
Swimwear 
Lingerie 

Looking for top tier clean women 

$500 for the day 

Send MINIMUM three photos preferably one casual, swimwear and lingerie.

Thank you",compensation: $500
Computer Science Tutor/Mentor,"QR Code Link to This Post
            
        
Hi! 
  I own 3 Flying Falafel restaurants in the city and I'm extremely excited about expanding my tech skills. Looking for a mentor to give me mentoring sessions on:

- JavaScript, Python, Ruby, Swift, Perl, ... and more.
- PHP (work with existing PHP frameworks, custom PHP frameworks (CorePHP), any PHP work we can do.)
- Google API's
- Web APP Development (node.js, angular.js, keystone.js (cms for node, similar to WordPress), express for node.js)
- Big Data, (Data Science, Data Analytics, Data Engineering)
- Machine Learning

Let me know a fair rate per hour.

Thanks!
Adam",compensation: $50
Technical Writing,"QR Code Link to This Post
            
        
We have a collection of technical documents, that have been translated from Chinese to English. They need to be ""localized"" so they have a natural and high quality feel in the United States - it's clear when reading them that they were translated from Chinese to English by someone Chinese in China who is talented but clearly not native.

Ideally you'll be a technical person - Engineer, Scientist or Programmer. 

We can start with a single document to evaluate the quality and cost. We have many more, so this could keep you busy for some time.",compensation: Hourly / Per Document
Video Editing Needed,"QR Code Link to This Post
            
        
I need a video editor to take footage from volleyball matches and cut out the plays from a specific player onto a lossless video for me then to make a highlight reel.

I have six matches that need to be edited ~6hours of footage.",compensation: TBD
Boom Operator / Sound recordist with own gear for 1/25 and 1/264,"QR Code Link to This Post
            
        
Seeking boom operator / sound recordist with own gear needed for short film this Saturday and Sunday, 1/25 and 1/26, for half day shoots in the evening, 4 - 9pm. Please respond with a list of your gear and specify your availability for either day or both.",compensation: flat rate
Parents of children with Autism/special needs - Paid feedback,"QR Code Link to This Post
            
        
We're creating a next-generation children's behavioral health clinic with best-in-class software tools to increase access and quality of care for children with special needs (Autism, disabilities, behavioral/emotional health, etc.).

We need parents to give feedback on early prototypes.

Pay is by Amazon gift card.

(Meetings are remote. Limit of one meeting per person.)

Please fill out this survey and we may reach out to you to schedule a paid call: https://forms.gle/hQ2mc29j6DJUBZQP8",compensation: Amazon gift card
web & social media design for start up non-profit,"QR Code Link to This Post
            
        
Non profit start up looking to set up Maryland branch and recruit for web and social media manager.  We are also recruiting for ALL positions including Director and HR recruiter.  Perfect for interns wanting experience and professionals who want to provide their services to our youth in need.  

NO PAY.. however, certain positions will transition to hourly or salaried upon establishment of the organization. Come support a great cause for our neighborhood youth and young adults!  

Respond to this ad if you're looking to be a role model, mentor, or a supporter in the lives of our youth. Looking for serious and dedicated volunteers only.",no pay
LYRIC VIDEO NEEDED,"QR Code Link to This Post
            
        
Hello,

Looking for someone experienced in lyric videos. This will be for a hip hop song. 

Here's an example of what I'm going for: https://www.instagram.com/p/BwaMfNgg_Ul/?igshid=26kdaec39aim

Please send links to your work.

Thank you,

-Luke",compensation: $$$
Videographer for Live Speaking Event,"QR Code Link to This Post
            
        
Seeking a Talented Videographer for a 45 min Keynote speech. 

Ideal candidate would be able to do a 2 Camera Set up and have a Lav. 

Please send Reel Links and what Gear you would be filming on.

You can see some of Alex's work here to get an idea what to expect www.ImAlexWeber.com

We look forward to hearing from you!",compensation: $225 for 45 min engagement
Looking for Beginner Models,"QR Code Link to This Post
            
        
Hi everyone! I'm looking for some people who want to get into modeling, but don't have any experience. I would like to work with a few people to build up their portfolio and mine. This is a no pay gig, but you will receive all the edited photos from the shoot to use in your own portfolio. Please send your name and a picture of yourself to my phone number.",no pay
small html job,"QR Code Link to This Post
            
        
update date copy right year on bottom of page for LakeOzarkNow.com and correct small glitch when click on photo box on left side of home page",compensation: quote per job
Photography Videography Photographer Videographer,"QR Code Link to This Post
            
        
i'm looking for someone interested on becoming a photographer and videographer they have to be willing and wanting to learn how to shoot. I have all the equipment needed to teach someone how to shoot. I'm working on shooting several youtube videos, skits, mini documentaries. but i need help with someone behind the camera. I want to work with a motivated person willing to learn how to use a camera, i will direct and guide you. if you guys are really interested please let me know through text or email.",
FEMALE SMOKING MODEL NEEDED,"QR Code Link to This Post
            
        
Photographer Seeks Fun Cute and Photogenic Smoking Models

I like to chill out, smoke some sticky light green bud, relax, shoot some smoking hot photos - I prefer Sexy Beachwear Type Smoking Photos, but there are many types. 

Are you outgoing, easy to talk with, do you have bright eyes, is your smile cute and inviting, do you have nice hair? - Please apply now! 

Do you have a nice looking pipe or bong that you look hot smoking? or do you smoke Blunts ?

Sexy Girls Smoking Good Bud is an art form in itself and not often appreciated. 

Beach - Park - Pool or wherever you like.

Confident or shy, outgoing or reserved, I'm easy going and never pressure anyone. I like to chill out, relax and see how great photos come together naturally. Once a model feels comfortable, that's when the art starts. 

I'm a non professional in this aspect of photography at all, though I've been shooting professional photos in other industries for over 25 years. I currently shoot with a Nikon.

Apply with some appropriate, current photos and a little about yourself.  Include your contact info, and your location.

I'm in the Poway area but I work and shoot all over SD.
 
Thanks

Mike",no pay
"Microsoft Certified Professional (MTA, MCSA, or MCSD)","QR Code Link to This Post
            
        
Looking for a Microsoft Certified Professional with a MTA, MCSA, or MCSD or equivalent certification with the following experience:

- experience working with Microsoft Enterprise Mail Exchange (building, designing, implementing and support)
- knowledge of Active Directory Integration (design, implementation and support) 
- can support AD/Exchange migration from 2008 to 2016/2019
- can configure AD schema, rules, and policies, forest, DC, DNS, and Namespace, FSMO, AD DS
- knowledge of File Server and WSUS - OS Upgrades, deployment, storage, and configuration..etc.
- knowledge of Hyper-V, Backup and Storage (preferred)
- can work on site and provide 24x7x365 support as needed and monthly
- this is a contract based consulting role

If interested, please respond with your hourly rate and resume.",compensation: TBD
Photographer seeks models,"QR Code Link to This Post
            
        
I'm an experienced photographer and I've been working on some new techniques. I seek some fresh faces to round out my portfolio. Whether you are experienced or new at modeling, I'd like to hear from you. Please contact me for details and more samples of my work.",compensation: TFP (time for photos)
Male Sportswear Models,"QR Code Link to This Post
            
        
Small independent basketball brand  launching soon.


I'm looking for athletes or athletic types (ages 21-30yrs old)with fit bodies and nice faces who would be interested in modeling for photoshoot for upcoming sportswear line. If you're up for helping and getting some experience. 
We prefer people who do play, but it's not necessary. 
Please submit your stats as well as at least three full body photos ( no social media links).",compensation: TBD
Admin Accounting Job - Tiffany Armstead,"QR Code Link to This Post
            
        
So I am looking to reconcile last years receipts and categorize payments in Excel.

The person to do this must be at Excel and type fast.

I had someone good where are you?

Can't find her so taking applications with your resume.",compensation: 15/ hour
Graphic designs s,"QR Code Link to This Post
            
        
Need a name logo into a sparkle graphics 
May lead to additional work",compensation: 50.00
Graphic designer,"QR Code Link to This Post
            
        

Need a name logo into a sparkle graphics 
May lead to additional work",compensation: 50.00
🔵 BUILD UNLIMITED WEBSITES & MORE FOR JUST $87/MO,"QR Code Link to This Post
            
        

Build unlimited websites through a revolutionary all-in-one online marketing platform


Have the capability to also send email campaigns, post online ads, and utilize social marketing content


Plans start at $87/mo with the chance to potentially make your plan more than free by just referring three others while on the most popular entrepreneur plan


For more info about the marketing platform, visit https://advertiseyourbusiness.now.site and for info about the referral affiliate program, visit https://royaltieaffiliate.now.site


Contact Charles at 240-714-1940 for more info about the platform and also for help with getting started",compensation: commission-based
Photographer seeking female model,"QR Code Link to This Post
            
        
I will be visiting Tampa this week, scheduling shoots from Sunday - Wednesday.  If you have wanted to try modeling before,  this is your chance,  no experience necessary.  

To be considered, submit a few photos (head shot and full length) along with your contact info and availability.  

Payment $50-$100 per hour.",compensation: $50-$100 per hour
"Various Jobs needed---Accounting, Insurance and Real Estate","QR Code Link to This Post
            
        
need a person who would be a 1099 that can do accounting 1099 work and occasional accounting help
AND if possible tax for 2019

need a person to keep me motivated to help with doing some calls, emails and appt setting when you
have time in the insurance and real estate area; it would be great if you have experience in this

all jobs would pay $15 an hour ---1099

we could meet starting for coffee in Oakdale Jan 28th or my office in Oakdale

thanks,

Terry Quinn 6124182940",compensation: $15 per hour to start
Fee paid to host our business computer - N.O.,"QR Code Link to This Post
            
        
We record local TV newscasts into a desktop computer for remote access; outdoor TV antenna required; wired internet connection required; minimal involvement after initial set-up; please provide your location & phone number","compensation: $50 per month, indefinitely"
Public Speaking / Retail Presenter W2 $700-1200+/wk,"QR Code Link to This Post
            
        
We are staffing our unique retail road show with both promoters and leadership candidates possessing the ability to speak from a podium. Demonstrate quality products at the nation's leading warehouse clubs. Fast track to management for those that excel. Realistic income $150-$300+/per day. Top reps can make $2000+/wk! No cap. Guaranteed base draw! Full time only. This business can be a lot of fun and you can earn fantastic money! You must possess the ability to speak from a podium and learn a short script. Must have a car and work weekends, some travel.

*Warehouse clubs
*Realistic $700-$1200+ per week
*Guaranteed base draw
*Management Fast Track
*W2 Full-time employment including weekends
*Travel

HOW TO APPLY: To apply, please submit your resume and a short message about your experience doing sales or demonstrations.",compensation: W2 Guaranteed weekly draw/commissions
Photographer Looking for models TFP,"QR Code Link to This Post
            
        
Hi, I am a Sony collective member photographer that recently moved to New York City.

I am seeking models or aspiring models that needs updates on their portfolio that's interested in trading time for high quality pictures.

Send me a email if interested.

Along with your name and instagram thank you.",no pay
Foot Modeling,"QR Code Link to This Post
            
        
I have a business that connects models with people in the foot modeling industry. If you have pretty feet/cute toes/look good in high heels etc. then this is a perfect opportunity to make some great money modeling your feet.

If you are interested please get in touch with me by email. You can get paid per picture or picture set and nothing ever contains any nudity.

I'm looking forward to working with you, Matt.",compensation: Per picture or picture set
Fee paid to host our business computer - LAN,"QR Code Link to This Post
            
        
We record local TV newscasts into a desktop computer for remote access; outdoor TV antenna required; wired internet connection required; minimal involvement after initial set-up; please provide your location & phone number","compensation: $50 per month, indefinitely"
Fee paid to host our business computer - GR,"QR Code Link to This Post
            
        
We record local TV newscasts into a desktop computer for remote access; outdoor TV antenna required; wired internet connection required; minimal involvement after initial set-up; please provide your location & phone number","compensation: $50 per month, indefinitely"
Fee paid to host our business computer - BAL,"QR Code Link to This Post
            
        
We record local TV newscasts into a desktop computer for remote access; outdoor TV antenna required; wired internet connection required; minimal involvement after initial set-up; please provide your location & phone number","compensation: $50 per month, indefinitely"
Videographer needed for info production,"QR Code Link to This Post
            
        
Hey guys thanks for looking at my post.

I’m a Real Estate Investing coach and I am expanding my video series to include some on-site production. We have a few different videos we would like to do. Needing someone to shoot for us. We will handle all production.
I’m a Real Estate Investing coach and I am expanding my video series to include some on-site production. We have a few different videos we would like to do. Needing someone to shoot for us. We will handle all production.

Just let me know what you need to charge for half-day and full day production as well as what type of set up you have.",compensation: Tbd
LF Model for growing Youtube Channel,"QR Code Link to This Post
            
        
We are looking for an attractive female model assistant. Experience is not necessary. We would like to find someone that is a people person and has a natural happy expression with a nice natural smile. Must be atleast 18 years old due to youtube's new policy.

Job: Be a subject for showcasing new cameras in the market to be shown in youtube. 

Please send a headshot picture to me. No filters please.",compensation: $15/hour shoot ranges from 2 hrs
Interested in Muscle Cars? - Can do Data Entry?,"QR Code Link to This Post
            
        
I am building a unique muscle car parts store that is starting with the 1967, 1968 and 1969 Camaro.  The problem I am having is time.  I simply to do not have the time to quickly and efficiently enter all of the data and contact all of the manufacturers to get the web-site up and making money in a timely manner.  Therefore, I am looking for someone who can join me.  We will sit side-by-side and enter data into the parts spreadsheet.  I cannot pay you, but if you see the project to the end and stay with the company, you will receive 10% of the companies net profits.  Thus, when I pay myself, I will pay you.  I am hoping that, once the company is going, you will stay for a paid position.  Let me know if you are interested.",compensation: Percentage of the company's net profits.
Male Models needed for Streetwear Photo Shoot,"QR Code Link to This Post
            
        
Sir Noble Streetwear is looking to hire male models to model streetwear in a photo shoot. Tattoos preferred, over 6 ft, under 200 lb. Thugged out look is acceptable. You don’t need to have an agent or anything just hit us up! We provide the outfits(obviously).",compensation: $50 for up to 2 hr
"Models , Dancers and Actors  -CASTING UNTIL MARCH 2020","QR Code Link to This Post
            
        
Models , Dancers and Actors for New Hip Hop Events and Online Skits

👣Do you have what it takes to be apart of the entourage ? Models, Dancers , Twerk Dancers and extras


Ohio recording artist is now recruiting Models , Dancers and Actors for upcoming events and performances. You can choose which events you are interested in going to . Or you can choose to sign on with us as a talent .

 ✍🏻 Future gigs will be paid as we are a management company who colllects payment only when we get you paid.

EVENT 1: Monday Jan 27 
EVENT 2 : Friday Jan 31
MUSIC VIDEO SHOOT 
Location: Tampa (Bar) 
Crew Wanted : 2 models , 2 Dancers 
💁🏽‍♀️Model Job: 2 models walk in with the Rapper 
💁🏻‍♀️Dancer job: Twerk Dancers or B boys are welcome . U will be dancing on stage or in front of it as apart of the performance . 
💁🏼‍♂️Extras are also needed for creating the crowd in the video  . All races , ethnicities wanted.

Interested?
 Reply to the phone number with your name , age and a photo 

PAY: no pay .
 Major exposure ALERT 🚨 This video will be on huge platforms and seen by thousands maybe millions .
You will get footage of yourself at the event to add to your portfolio . 📸 You also get 5 professional photographs 

419.466.5066",no pay
Looking for social media guru,"QR Code Link to This Post
            
        
Looking for someone familiar with social media to help grow my business. Must be able to create a profile and promote the business. Gig work pay will be negotiated",compensation: Gig work. Pay will be negotiated
UI/UX for website,"QR Code Link to This Post
            
        
We are a startup building a site slated to launch in March. Looking for help on the design of the site",compensation: Tbd
Need Arduino code ASAP to control Stepper Motor with TB6600,"QR Code Link to This Post
            
        
Hello, I am looking for someone that can Start and Complete this project TODAY.

I am building a machine to press a 100 caps onto 100 cartridges.

The idea is that at the start of a button press, the system homes the X and Y Axis using Limit Switches and then positions itself under the 1st cap.  A relay is activated pushing a piston down capping the cap to the bottle.  This is repeated for all 100 bottles and after the 100th cap is pressed on, the machine stops until the start button is pressed.

I am using 2 Nema 17 motors, 2 TB6600 Drivers, 1 Relay, 1 Arduoino.

I need something WITH EXPERIENCE using these drivers and stepper motors to code this TODAY.",compensation: To be Determined
Law firm marketing gig,"QR Code Link to This Post
            
        
I run a solo practice.  I've been named as a SuperLawyer because I get my clients great results.  I get a list of doctors once or twice every 2 months.  Sometimes the list has around 15 names, sometimes closer to 30.  I'd like to find someone reliable to mail marketing material (one page letter) to each doctor on the list.  I would pay you $2.00 for each and reimburse cost of printing, address stickers, postage and envelopes.  It's mostly a copy and paste job of putting the name and address of the doctor on the template then mailing it out.  You get the address for each doctor by clicking on their name in the email I'll send and going to their profile on the Medical Board website.  Fast & easy side money and might naturally grow into more work.  You'll need a computer/printer & envelopes and stamps for mailing OR  a Postal Annex/Fedex Kinkos nearby.",compensation: $2 per name PLUS reimbursement for stickers/envelopes/postage
Seeking models/actresses 18+,"QR Code Link to This Post
            
        
I am casting for photo/video shoots and seeking female models aged 18 and over.  Competitive pay. Samples and references available on request.  Please reply with your rates and availability and a link to your portfolio or some sample images showing your face and whole body clearly.  No experience necessary.  Thanks - D",compensation: $$$ Negotiable $$$
Female model,"QR Code Link to This Post
            
        
Looking for a petit female model for a fitness shoot in which you will be lifted overhead.  No experience necessary, just the right look.  Must be comfortable with being lifted overhead, dance/cheerleading background might be helpful but not necessary.  Paid shoot $100/hour.  Shoot will be outdoors, please send a few overall photos with any similar experience as well as height, weight and measurements.",compensation: $100/hour
Seeking Fun models All sizes,"QR Code Link to This Post
            
        
Company seeking Models and Actresses to participate in an Audition for Talent Development and Consulting for upcoming Projects in Runway, event dating, Commercials, Theater and Film.
If you just want to pose for pics please don't apply.

For immediate consideration send face and body pics.
832-598-6872 jay.",compensation: 400-800$ a day
"$30/Hour, Remote Task for Spanish Speakers","QR Code Link to This Post
            
        
Hello!

We are looking for native Spanish speakers in the US to join us in a speech recording project on our mobile app. This is a remote opportunity that will significantly impact the development of speech recognition technology.

We are collecting phone conversations to develop a new voice recognition device and your conversations will be made anonymous. You can contribute to these innovations while being paid for talking to your friends and family!

$30/Hour, Up to 10 hours per participant!

This project has limited slots only, install the app now, create your profile and start earning.

Available on Google Play (Android users) here: http://glbl.me/p9x

Available on App Store (iPhone users) here:http://glbl.me/pbq
do NOT contact me with unsolicited services or offers",compensation: $300
Female Models Wanted. Modern Bohemian Lifestyle Brand,"QR Code Link to This Post
            
        
Planta
https://www.theplanta.com
https://www.instagram.com/planta_life

Planta is looking for female models for an upcoming shoot for our new capsule collection. We will be shooting clothing and skincare products for our modern, bohemian, natural lifestyle brand in the Pasadena/LA area. 

Pictures will be used for clothing and skincare products promotional materials, website, and IG. For consideration, send photos/portfolio, IG links. 


Planta. You spend so much time finding the best natural cosmetic products. That’s why we created Planta.

We do the research, you get the best brands sent to you every month. Simple. 

The Planta® 2019/20 Fall/Winter release is a modern, not trendy, thoughtfully designed collection that women can live and play in, produced with attention to detail, celebrating the diversity of you.

The Planta® 2019/20 collection, made with you in mind.",compensation: $200 for the day
Mobile app developer needed,"QR Code Link to This Post
            
        
Hello folks. I am hoping to find a developer that is willing to work for a flat rate to help me create a simple game.

Flat rate is the most important factor at this time. If a viable product is delivered,  we can discuss further engagement and more compensation. 


I would like assistance with developing, uploading to play store, in game ads, really everything to get it running. 

I would be very happy to offer an ownership percentage as well. I always find that more effort is placed when people know they may benefit for the long term.

So please reach out with any questions and let me know what you think is fair for a flat fee and even possible ownership percentage. 

This is a simple bingo game. No bells and whistles.  Just a pick up and play sort of deal.

I am truly looking forward to speaking with all interested parties.

Please text me and let me know what you think.

Thanks!",compensation: 200 minimum.  Willing to negotiate more and ownership percentage
Extras (Actors & Actresses) For Indie Artist Music Video,"QR Code Link to This Post
            
        
Peace to you!
I am an indie artist (Emcee, singer, & songwriter) and I am looking for 5-10 extras for my upcoming music video. This is a NON-PAID gig. What I am really looking for are young creatives who want to be apart of a fun, uplifting experience. You will definitely gain great exposure. My song is about the struggles of growing up in a poor neighborhood, where poor mindsets and addictions can grow. More info will be provided to you if you are selected. And, I will provide you with the link to the track so you can be sure this role is for you! (: 

This music video shoot will be held February 22nd, 2020 [10:00 A.M.-1:30 P.M.] 
This date is locked in and already paid for, so you MUST BE AVAILABLE that day between those times. 

[extra description: young creatives FEMALE & MALE between the ages of 18-33 yrs.
positive energy, open minded, acting experience a PLUS, reliable, and flexible]
Must be located in NYC.

If interested, please reply to this posting with your name, best contact email, gender, age, acting experience (if any), & Instagram handle

If you do not have an Instagram account, please provide any other social media accounts along with a short recording answering why you would like to apart of this experience and ""What in your neighborhood has shaped you to become the person you are?""

Thank you!
I look forward to hearing from you. Let's connect & build!",no pay
Videographer/Photographer Wanted,"QR Code Link to This Post
            
        
I am looking for a reliable videographer/photographer for ongoing projects.

1. Shoot my LIVE performances. I perform at multiple open mics around the city and need someone to capture them.
2. I need help shooting content (vlogs) for my YouTube channel. My channel is based on music, beauty, and lifestyle so the more you know about those areas the better. 
3. I need help with photoshoots. I like to shoot at least once a month.

I am looking to work with someone long-term. Please reach out if you have any questions. 
Thanks for looking!",compensation: TBD
projects for Female models,"QR Code Link to This Post
            
        
Seeking female models ages 18 to 34 multiple projects April in the East Valley
Paid at end of each shoot, minimum of $50 per hour, and up.
Provide 2 recent photos and contact info for consideration. 
We shoot desert landscape and studio work.
Video projects are also available for the right model.",compensation: $50+/hr
Male Model Needed,"QR Code Link to This Post
            
        
I am looking to hire a model for $50 to pose with me in photos to make my ex jealous. Please submit a picture of yourself. This is an easy, fun, and short gig.",compensation: $50
Now Hiring Models,"QR Code Link to This Post
            
        
Buchanon Worldwide LLC is seeking web models for paid same day shoots in Scottsdale

Please respond with resume/experience","compensation: 1-2 hour shoot, pay discussed via email"
"Models Needed For A Short Video Clip, $200","QR Code Link to This Post
            
        
TUESDAY JANUARY 28 Need 4 female models, black, asian, white & latino + 1 male model for a few short video clips in a medical spa (Skinly Aesthetics) where you will be filmed sitting, talking, etc. 
This should take approximately 2 hours and the pay is $200 or exchange for services. 
MUST send SELFIES of the face and full body to determine if you qualify.",compensation: $200 or exchange for services
